SessionID,UserID,Date,Start Time,End Time,Duration,Platform,DeviceType,Channel,Rating,Product Type,Detailed Product Type,Interaction Type
32,197,2023-09-01,2023-09-01 19:22:00,2023-09-01 20:07:00,45.0,Website,Mobile,Social Media,2,Movies,Comedy,Click
33,40,2023-09-01,2023-09-01 19:36:00,2023-09-01 21:53:00,137.0,Website,Mobile,Paid Advertisement,1,Music,Pop,Click
34,444,2023-09-01,2023-09-01 14:40:00,2023-09-01 15:51:00,71.0,Website,Mobile,Paid Advertisement,5,Movies,Drama,View
35,99,2023-09-01,2023-09-01 01:40:00,2023-09-01 05:14:00,214.0,Mobile App,Laptop,Paid Advertisement,1,TV Shows,Action,View
36,58,2023-09-01,2023-09-01 09:09:00,2023-09-01 13:04:00,235.0,Mobile App,Mobile,Paid Advertisement,4,Music,Hip Hop,Click
37,391,2023-09-01,2023-09-01 04:37:00,2023-09-01 07:20:00,163.0,Mobile App,Laptop,Paid Advertisement,5,Movies,Drama,Scroll
38,246,2023-09-01,2023-09-01 13:16:00,2023-09-01 14:50:00,94.0,Website,Laptop,Paid Advertisement,2,TV Shows,Drama,View
39,201,2023-09-01,2023-09-01 19:42:00,2023-09-01 21:04:00,82.0,Smart TV,Mobile,Paid Advertisement,5,Music,RnB,View
40,116,2023-09-01,2023-09-01 23:50:00,2023-09-02 02:30:00,160.0,Mobile App,Laptop,Paid Advertisement,1,Movies,Drama,View
41,326,2023-09-01,2023-09-01 22:24:00,2023-09-01 23:44:00,80.0,Mobile App,Mobile,Paid Advertisement,1,Music,Pop,Scroll
42,379,2023-09-01,2023-09-01 13:45:00,2023-09-01 14:24:00,39.0,Website,Laptop,Social Media,5,Music,Hip Hop,Click
43,441,2023-09-01,2023-09-01 00:10:00,2023-09-01 04:07:00,237.0,Website,Laptop,Social Media,4,Music,Pop,View
44,141,2023-09-01,2023-09-01 10:29:00,2023-09-01 13:10:00,161.0,Mobile App,Mobile,Paid Advertisement,4,Music,Hip Hop,View
45,463,2023-09-01,2023-09-01 02:12:00,2023-09-01 03:27:00,75.0,Mobile App,Mobile,Social Media,1,Music,Pop,View
46,477,2023-09-01,2023-09-01 07:25:00,2023-09-01 08:01:00,36.0,Mobile App,Mobile,Paid Advertisement,5,Games,Action,Scroll
47,373,2023-09-01,2023-09-01 11:45:00,2023-09-01 14:46:00,181.0,Mobile App,Laptop,Paid Advertisement,3,Music,RnB,Search
48,397,2023-09-01,2023-09-01 09:35:00,2023-09-01 10:31:00,56.0,Mobile App,Mobile,Organic Search,4,Movies,Action,View
49,479,2023-09-01,2023-09-01 23:12:00,2023-09-02 00:17:00,65.0,Website,Tablet,Paid Advertisement,5,Music,Pop,Click
50,476,2023-09-01,2023-09-01 17:22:00,2023-09-01 20:41:00,199.0,Mobile App,Mobile,Organic Search,3,Music,RnB,View
51,455,2023-09-01,2023-09-01 16:57:00,2023-09-01 17:12:00,15.0,Mobile App,Laptop,Social Media,3,Movies,Comedy,View
52,59,2023-09-01,2023-09-01 20:06:00,2023-09-01 21:22:00,76.0,Mobile App,Laptop,Paid Advertisement,5,TV Shows,Drama,Search
53,129,2023-09-01,2023-09-01 00:13:00,2023-09-01 00:30:00,17.0,Mobile App,Mobile,Organic Search,3,Music,Pop,Click
54,379,2023-09-01,2023-09-01 02:47:00,2023-09-01 06:21:00,214.0,Website,Mobile,Paid Advertisement,1,Podcasts,Game Show,Scroll
55,104,2023-09-01,2023-09-01 20:03:00,2023-09-01 20:33:00,30.0,Website,Mobile,Organic Search,1,TV Shows,Action,Click
56,444,2023-09-01,2023-09-01 03:47:00,2023-09-01 06:31:00,164.0,Website,Mobile,Organic Search,1,Music,Pop,Click
57,481,2023-09-01,2023-09-01 09:33:00,2023-09-01 13:00:00,207.0,Website,Laptop,Paid Advertisement,4,TV Shows,Docu-Series,View
58,115,2023-09-01,2023-09-01 00:43:00,2023-09-01 04:15:00,212.0,Mobile App,Mobile,Paid Advertisement,3,Games,Reality,Search
59,286,2023-09-01,2023-09-01 12:37:00,2023-09-01 12:57:00,20.0,Mobile App,Mobile,Social Media,5,Music,RnB,Click
60,244,2023-09-01,2023-09-01 15:48:00,2023-09-01 16:20:00,32.0,Mobile App,Laptop,Social Media,4,Movies,Drama,Share & Save
61,410,2023-09-01,2023-09-01 01:43:00,2023-09-01 02:03:00,20.0,Mobile App,Tablet,Paid Advertisement,5,Music,Hip Hop,Scroll
62,352,2023-09-01,2023-09-01 13:47:00,2023-09-01 16:44:00,177.0,Mobile App,Mobile,Paid Advertisement,2,TV Shows,Action,Scroll
63,237,2023-09-01,2023-09-01 02:33:00,2023-09-01 03:31:00,58.0,Mobile App,Mobile,Paid Advertisement,5,Games,Action,Click
64,421,2023-09-01,2023-09-01 15:22:00,2023-09-01 15:38:00,16.0,Website,Mobile,Organic Search,5,Music,Pop,Click
65,101,2023-09-01,2023-09-01 17:27:00,2023-09-01 20:18:00,171.0,Mobile App,Laptop,Paid Advertisement,5,Movies,Animation,View
66,216,2023-09-01,2023-09-01 21:46:00,2023-09-02 01:25:00,219.0,Website,Mobile,Organic Search,2,Movies,Action,Search
67,138,2023-09-01,2023-09-01 00:45:00,2023-09-01 02:10:00,85.0,Smart TV,Mobile,Paid Advertisement,2,Music,RnB,Scroll
68,298,2023-09-01,2023-09-01 04:38:00,2023-09-01 08:03:00,205.0,Website,Mobile,Paid Advertisement,5,TV Shows,Reality,Share & Save
69,372,2023-09-01,2023-09-01 03:54:00,2023-09-01 07:52:00,238.0,Mobile App,Mobile,Paid Advertisement,5,Music,Pop,Scroll
70,357,2023-09-01,2023-09-01 23:05:00,2023-09-02 02:46:00,221.0,Website,Mobile,Paid Advertisement,5,Music,Pop,Search
71,9,2023-09-01,2023-09-01 21:25:00,2023-09-01 23:24:00,119.0,Website,Mobile,Social Media,5,Podcasts,Comedy,Search
72,156,2023-09-01,2023-09-01 00:33:00,2023-09-01 04:22:00,229.0,Mobile App,Laptop,Social Media,5,Music,Pop,View
73,201,2023-09-01,2023-09-01 16:36:00,2023-09-01 16:52:00,16.0,Website,Laptop,Organic Search,4,Music,Rock,Share & Save
74,313,2023-09-01,2023-09-01 03:26:00,2023-09-01 03:43:00,17.0,Website,Laptop,Paid Advertisement,3,Movies,Animation,Scroll
75,348,2023-09-01,2023-09-01 10:29:00,2023-09-01 14:02:00,213.0,Website,Tablet,Paid Advertisement,1,Podcasts,Game Show,Click
76,285,2023-09-01,2023-09-01 05:17:00,2023-09-01 06:41:00,84.0,Mobile App,Mobile,Organic Search,1,TV Shows,Drama,Scroll
77,303,2023-09-01,2023-09-01 08:37:00,2023-09-01 10:55:00,138.0,Mobile App,Laptop,Social Media,1,Music,RnB,Search
78,223,2023-09-01,2023-09-01 20:12:00,2023-09-01 20:41:00,29.0,Mobile App,Mobile,Paid Advertisement,3,Games,Action,View
79,344,2023-09-01,2023-09-01 02:40:00,2023-09-01 05:59:00,199.0,Smart TV,Mobile,Organic Search,3,Music,Rock,Scroll
80,279,2023-09-01,2023-09-01 12:42:00,2023-09-01 14:01:00,79.0,Website,Tablet,Paid Advertisement,4,TV Shows,Action,Scroll
81,73,2023-09-01,2023-09-01 12:53:00,2023-09-01 13:01:00,8.0,Mobile App,Mobile,Social Media,4,Podcasts,Lifestyle,Click
82,94,2023-09-01,2023-09-01 08:16:00,2023-09-01 09:59:00,103.0,Mobile App,Mobile,Paid Advertisement,5,Music,Rock,Click
83,399,2023-09-01,2023-09-01 04:14:00,2023-09-01 04:58:00,44.0,Mobile App,Mobile,Social Media,5,Podcasts,Game Show,View
84,297,2023-09-01,2023-09-01 22:47:00,2023-09-01 23:16:00,29.0,Smart TV,Mobile,Organic Search,1,TV Shows,Drama,Click
85,202,2023-09-01,2023-09-01 19:48:00,2023-09-01 21:05:00,77.0,Smart TV,Mobile,Paid Advertisement,4,TV Shows,Animation,Scroll
86,444,2023-09-01,2023-09-01 16:07:00,2023-09-01 18:29:00,142.0,Website,Mobile,Paid Advertisement,1,Podcasts,Game Show,Scroll
87,14,2023-09-01,2023-09-01 12:56:00,2023-09-01 16:32:00,216.0,Mobile App,Tablet,Organic Search,5,Movies,Drama,View
88,263,2023-09-01,2023-09-01 16:55:00,2023-09-01 20:09:00,194.0,Website,Mobile,Paid Advertisement,5,Music,Rock,Click
89,456,2023-09-01,2023-09-01 08:14:00,2023-09-01 11:15:00,181.0,Website,Laptop,Paid Advertisement,3,Movies,Documentary,Click
90,84,2023-09-01,2023-09-01 05:36:00,2023-09-01 09:30:00,234.0,Website,Tablet,Paid Advertisement,5,Music,Pop,Scroll
91,500,2023-09-01,2023-09-01 11:15:00,2023-09-01 13:16:00,121.0,Website,Laptop,Paid Advertisement,3,TV Shows,Animation,View
92,2,2023-09-01,2023-09-01 05:41:00,2023-09-01 09:07:00,206.0,Mobile App,Mobile,Paid Advertisement,1,Music,Pop,Scroll
93,88,2023-09-01,2023-09-01 17:49:00,2023-09-01 21:01:00,192.0,Website,Mobile,Organic Search,4,Movies,Animation,Click
94,310,2023-09-01,2023-09-01 23:19:00,2023-09-01 23:48:00,29.0,Website,Mobile,Paid Advertisement,4,Music,Pop,View
95,454,2023-09-01,2023-09-01 03:16:00,2023-09-01 04:39:00,83.0,Mobile App,Mobile,Paid Advertisement,4,Movies,Drama,View
96,293,2023-09-01,2023-09-01 12:45:00,2023-09-01 15:20:00,155.0,Mobile App,Laptop,Paid Advertisement,1,Music,Pop,Scroll
97,185,2023-09-01,2023-09-01 23:10:00,2023-09-02 01:46:00,156.0,Website,Laptop,Social Media,4,Music,Hip Hop,Click
98,82,2023-09-01,2023-09-01 01:19:00,2023-09-01 05:06:00,227.0,Mobile App,Mobile,Social Media,1,TV Shows,Drama,Share & Save
99,413,2023-09-01,2023-09-01 03:24:00,2023-09-01 07:19:00,235.0,Mobile App,Mobile,Paid Advertisement,5,Music,RnB,Scroll
100,272,2023-09-02,2023-09-02 00:36:00,2023-09-02 01:01:00,25.0,Mobile App,Laptop,Paid Advertisement,4,Music,Pop,Click
101,207,2023-09-02,2023-09-02 02:30:00,2023-09-02 04:12:00,102.0,Mobile App,Mobile,Paid Advertisement,4,Games,Reality,View
102,268,2023-09-02,2023-09-02 12:20:00,2023-09-02 16:04:00,224.0,Website,Mobile,Paid Advertisement,2,Music,Pop,Scroll
103,231,2023-09-02,2023-09-02 15:01:00,2023-09-02 16:59:00,118.0,Mobile App,Mobile,Organic Search,3,Music,Hip Hop,View
104,305,2023-09-02,2023-09-02 21:25:00,2023-09-02 22:52:00,87.0,Website,Tablet,Social Media,4,Music,Pop,Search
105,126,2023-09-02,2023-09-02 01:52:00,2023-09-02 05:09:00,197.0,Website,Laptop,Paid Advertisement,3,Music,Pop,Share & Save
106,422,2023-09-02,2023-09-02 22:41:00,2023-09-03 00:40:00,119.0,Website,Mobile,Paid Advertisement,4,Music,Pop,Share & Save
107,135,2023-09-02,2023-09-02 14:48:00,2023-09-02 18:02:00,194.0,Mobile App,Laptop,Paid Advertisement,5,Music,Rock,Click
108,52,2023-09-02,2023-09-02 02:31:00,2023-09-02 06:23:00,232.0,Mobile App,Mobile,Paid Advertisement,5,TV Shows,Comedy,Scroll
109,340,2023-09-02,2023-09-02 04:09:00,2023-09-02 06:48:00,159.0,Mobile App,Laptop,Organic Search,1,Music,RnB,View
110,380,2023-09-02,2023-09-02 03:25:00,2023-09-02 04:24:00,59.0,Mobile App,Mobile,Organic Search,5,Music,Pop,Search
111,155,2023-09-02,2023-09-02 15:10:00,2023-09-02 16:12:00,62.0,Website,Mobile,Paid Advertisement,4,Music,Hip Hop,Share & Save
112,66,2023-09-02,2023-09-02 14:27:00,2023-09-02 16:04:00,97.0,Mobile App,Laptop,Paid Advertisement,1,TV Shows,Drama,View
113,459,2023-09-02,2023-09-02 04:41:00,2023-09-02 08:10:00,209.0,Mobile App,Mobile,Organic Search,4,Movies,Drama,Click
114,305,2023-09-02,2023-09-02 02:16:00,2023-09-02 06:16:00,240.0,Website,Mobile,Social Media,5,Movies,Drama,Click
115,409,2023-09-02,2023-09-02 14:13:00,2023-09-02 15:54:00,101.0,Mobile App,Mobile,Paid Advertisement,1,Games,Action,Search
116,397,2023-09-02,2023-09-02 15:28:00,2023-09-02 15:46:00,18.0,Smart TV,Tablet,Organic Search,4,Music,Pop,Click
117,83,2023-09-02,2023-09-02 17:48:00,2023-09-02 18:35:00,47.0,Mobile App,Tablet,Paid Advertisement,4,Music,Rock,View
118,11,2023-09-02,2023-09-02 03:28:00,2023-09-02 04:17:00,49.0,Mobile App,Mobile,Paid Advertisement,5,Podcasts,Lifestyle,Search
119,360,2023-09-02,2023-09-02 17:09:00,2023-09-02 19:45:00,156.0,Mobile App,Laptop,Organic Search,4,Music,RnB,View
120,367,2023-09-02,2023-09-02 00:04:00,2023-09-02 01:26:00,82.0,Mobile App,Mobile,Social Media,1,Music,Pop,Share & Save
121,352,2023-09-02,2023-09-02 12:36:00,2023-09-02 13:34:00,58.0,Website,Tablet,Social Media,5,Movies,Drama,Click
122,345,2023-09-02,2023-09-02 07:31:00,2023-09-02 08:17:00,46.0,Mobile App,Mobile,Paid Advertisement,1,Podcasts,Comedy,Click
123,474,2023-09-02,2023-09-02 08:14:00,2023-09-02 10:58:00,164.0,Mobile App,Mobile,Paid Advertisement,4,Movies,Action,Search
124,250,2023-09-02,2023-09-02 18:57:00,2023-09-02 19:49:00,52.0,Website,Mobile,Paid Advertisement,5,Movies,Action,Click
125,327,2023-09-02,2023-09-02 22:53:00,2023-09-03 00:12:00,79.0,Mobile App,Mobile,Social Media,5,Games,Reality,View
126,234,2023-09-02,2023-09-02 12:45:00,2023-09-02 14:26:00,101.0,Smart TV,Laptop,Social Media,4,Podcasts,Comedy,View
127,368,2023-09-02,2023-09-02 15:20:00,2023-09-02 16:41:00,81.0,Smart TV,Mobile,Social Media,1,Games,Reality,View
128,401,2023-09-02,2023-09-02 02:06:00,2023-09-02 02:38:00,32.0,Mobile App,Mobile,Organic Search,4,Podcasts,Religious,Click
129,325,2023-09-02,2023-09-02 23:50:00,2023-09-03 02:48:00,178.0,Mobile App,Mobile,Organic Search,4,Movies,Action,View
130,319,2023-09-02,2023-09-02 15:36:00,2023-09-02 16:14:00,38.0,Mobile App,Laptop,Organic Search,5,Music,Pop,View
131,390,2023-09-02,2023-09-02 14:05:00,2023-09-02 15:08:00,63.0,Mobile App,Mobile,Organic Search,5,Movies,Drama,Scroll
132,160,2023-09-02,2023-09-02 18:37:00,2023-09-02 21:36:00,179.0,Mobile App,Mobile,Organic Search,1,Music,Pop,Click
133,325,2023-09-02,2023-09-02 07:16:00,2023-09-02 08:52:00,96.0,Mobile App,Mobile,Paid Advertisement,5,Games,Lifestyle,Click
134,398,2023-09-02,2023-09-02 08:27:00,2023-09-02 12:08:00,221.0,Smart TV,Mobile,Social Media,5,Music,RnB,Click
135,126,2023-09-02,2023-09-02 15:14:00,2023-09-02 17:10:00,116.0,Smart TV,Tablet,Organic Search,5,TV Shows,Drama,View
136,417,2023-09-02,2023-09-02 10:26:00,2023-09-02 10:55:00,29.0,Mobile App,Mobile,Paid Advertisement,4,Podcasts,News and Politics,Search
137,154,2023-09-02,2023-09-02 14:45:00,2023-09-02 17:15:00,150.0,Website,Tablet,Organic Search,5,Music,Hip Hop,Click
138,169,2023-09-02,2023-09-02 13:27:00,2023-09-02 16:13:00,166.0,Mobile App,Mobile,Paid Advertisement,4,Games,Action,Scroll
139,453,2023-09-02,2023-09-02 21:34:00,2023-09-03 00:01:00,147.0,Smart TV,Laptop,Paid Advertisement,3,Movies,Action,View
140,157,2023-09-02,2023-09-02 00:36:00,2023-09-02 01:27:00,51.0,Website,Mobile,Social Media,4,Movies,Drama,Click
141,259,2023-09-02,2023-09-02 08:03:00,2023-09-02 09:15:00,72.0,Mobile App,Mobile,Paid Advertisement,3,Music,RnB,Share & Save
142,283,2023-09-02,2023-09-02 19:01:00,2023-09-02 21:26:00,145.0,Mobile App,Mobile,Social Media,2,Movies,Drama,Scroll
143,199,2023-09-02,2023-09-02 06:45:00,2023-09-02 07:31:00,46.0,Smart TV,Mobile,Organic Search,4,Music,Hip Hop,Search
144,412,2023-09-02,2023-09-02 19:44:00,2023-09-02 21:16:00,92.0,Mobile App,Laptop,Paid Advertisement,2,Music,Hip Hop,Search
145,2,2023-09-02,2023-09-02 09:56:00,2023-09-02 12:59:00,183.0,Mobile App,Mobile,Paid Advertisement,3,Games,Lifestyle,Scroll
146,176,2023-09-02,2023-09-02 11:12:00,2023-09-02 11:30:00,18.0,Mobile App,Laptop,Paid Advertisement,4,Music,Pop,Click
147,33,2023-09-02,2023-09-02 02:00:00,2023-09-02 02:48:00,48.0,Smart TV,Mobile,Paid Advertisement,4,Movies,Drama,View
148,317,2023-09-02,2023-09-02 09:12:00,2023-09-02 10:57:00,105.0,Mobile App,Tablet,Organic Search,4,Music,Hip Hop,Share & Save
149,155,2023-09-02,2023-09-02 21:42:00,2023-09-02 23:46:00,124.0,Website,Mobile,Social Media,1,Music,Pop,View
150,324,2023-09-02,2023-09-02 04:43:00,2023-09-02 06:25:00,102.0,Website,Mobile,Paid Advertisement,5,Music,RnB,Click
151,410,2023-09-02,2023-09-02 08:44:00,2023-09-02 09:34:00,50.0,Smart TV,Mobile,Organic Search,4,Games,Reality,Search
152,379,2023-09-02,2023-09-02 14:01:00,2023-09-02 15:44:00,103.0,Mobile App,Mobile,Paid Advertisement,4,Movies,Comedy,View
153,225,2023-09-02,2023-09-02 13:16:00,2023-09-02 14:47:00,91.0,Website,Tablet,Paid Advertisement,4,Music,Hip Hop,Share & Save
154,30,2023-09-02,2023-09-02 05:17:00,2023-09-02 05:55:00,38.0,Mobile App,Mobile,Social Media,3,Podcasts,News and Politics,Search
155,135,2023-09-02,2023-09-02 01:18:00,2023-09-02 03:16:00,118.0,Mobile App,Mobile,Social Media,4,Music,RnB,View
156,260,2023-09-02,2023-09-02 14:25:00,2023-09-02 16:07:00,102.0,Website,Laptop,Paid Advertisement,3,Music,Rock,Click
157,107,2023-09-02,2023-09-02 12:10:00,2023-09-02 13:33:00,83.0,Website,Mobile,Paid Advertisement,4,Movies,Drama,Share & Save
158,90,2023-09-02,2023-09-02 12:19:00,2023-09-02 14:01:00,102.0,Mobile App,Mobile,Organic Search,3,Movies,Animation,View
159,293,2023-09-02,2023-09-02 15:16:00,2023-09-02 17:02:00,106.0,Website,Mobile,Organic Search,5,Music,Pop,Scroll
160,226,2023-09-02,2023-09-02 00:46:00,2023-09-02 03:21:00,155.0,Mobile App,Mobile,Paid Advertisement,3,Music,RnB,Click
161,397,2023-09-02,2023-09-02 01:25:00,2023-09-02 04:00:00,155.0,Website,Mobile,Paid Advertisement,4,Music,Hip Hop,Click
162,405,2023-09-02,2023-09-02 12:52:00,2023-09-02 15:31:00,159.0,Mobile App,Laptop,Organic Search,5,Podcasts,Religious,Search
163,318,2023-09-02,2023-09-02 09:02:00,2023-09-02 09:32:00,30.0,Smart TV,Laptop,Paid Advertisement,2,Music,Pop,Search
164,300,2023-09-02,2023-09-02 07:24:00,2023-09-02 10:39:00,195.0,Website,Laptop,Paid Advertisement,1,Movies,Action,Click
165,271,2023-09-02,2023-09-02 11:43:00,2023-09-02 13:42:00,119.0,Mobile App,Mobile,Social Media,4,Music,Pop,Click
166,93,2023-09-02,2023-09-02 08:33:00,2023-09-02 08:44:00,11.0,Website,Tablet,Paid Advertisement,4,Movies,Action,View
167,98,2023-09-02,2023-09-02 19:29:00,2023-09-02 22:23:00,174.0,Smart TV,Tablet,Organic Search,3,TV Shows,Drama,View
168,77,2023-09-02,2023-09-02 15:45:00,2023-09-02 16:20:00,35.0,Mobile App,Mobile,Paid Advertisement,3,Movies,Comedy,Click
169,439,2023-09-02,2023-09-02 06:19:00,2023-09-02 09:59:00,220.0,Mobile App,Mobile,Social Media,3,Music,RnB,Search
170,22,2023-09-02,2023-09-02 18:24:00,2023-09-02 20:02:00,98.0,Mobile App,Mobile,Organic Search,4,TV Shows,Action,Click
171,372,2023-09-02,2023-09-02 18:42:00,2023-09-02 20:37:00,115.0,Website,Mobile,Paid Advertisement,4,TV Shows,Action,Share & Save
172,311,2023-09-02,2023-09-02 21:30:00,2023-09-02 22:43:00,73.0,Mobile App,Laptop,Paid Advertisement,4,Music,Pop,Scroll
173,278,2023-09-02,2023-09-02 18:17:00,2023-09-02 18:28:00,11.0,Website,Mobile,Paid Advertisement,1,Games,Reality,Click
174,206,2023-09-02,2023-09-02 02:20:00,2023-09-02 04:59:00,159.0,Mobile App,Tablet,Paid Advertisement,1,Music,RnB,View
175,351,2023-09-02,2023-09-02 07:26:00,2023-09-02 10:48:00,202.0,Website,Tablet,Paid Advertisement,4,Movies,Drama,Search
176,299,2023-09-02,2023-09-02 02:35:00,2023-09-02 04:31:00,116.0,Mobile App,Laptop,Paid Advertisement,3,Music,Pop,Scroll
177,104,2023-09-02,2023-09-02 07:32:00,2023-09-02 07:37:00,5.0,Mobile App,Mobile,Paid Advertisement,2,Music,RnB,Search
178,369,2023-09-02,2023-09-02 05:05:00,2023-09-02 07:48:00,163.0,Mobile App,Mobile,Paid Advertisement,5,Podcasts,Comedy,View
179,305,2023-09-02,2023-09-02 18:02:00,2023-09-02 21:34:00,212.0,Smart TV,Tablet,Social Media,4,Music,RnB,Click
180,200,2023-09-02,2023-09-02 22:34:00,2023-09-03 02:18:00,224.0,Website,Laptop,Paid Advertisement,5,Movies,Action,Scroll
181,46,2023-09-02,2023-09-02 15:15:00,2023-09-02 18:05:00,170.0,Website,Mobile,Paid Advertisement,5,Music,Pop,View
182,120,2023-09-02,2023-09-02 08:14:00,2023-09-02 12:11:00,237.0,Website,Mobile,Organic Search,3,Music,Hip Hop,View
183,380,2023-09-02,2023-09-02 15:39:00,2023-09-02 15:49:00,10.0,Mobile App,Laptop,Social Media,4,Music,Pop,Scroll
184,357,2023-09-02,2023-09-02 00:33:00,2023-09-02 03:29:00,176.0,Mobile App,Tablet,Social Media,4,Games,Reality,Click
185,461,2023-09-02,2023-09-02 22:24:00,2023-09-03 01:28:00,184.0,Website,Tablet,Paid Advertisement,1,Music,Pop,Share & Save
186,198,2023-09-02,2023-09-02 21:04:00,2023-09-02 22:01:00,57.0,Website,Laptop,Paid Advertisement,4,TV Shows,Drama,Click
187,255,2023-09-02,2023-09-02 15:50:00,2023-09-02 18:16:00,146.0,Mobile App,Mobile,Paid Advertisement,1,Music,Hip Hop,View
188,491,2023-09-02,2023-09-02 18:34:00,2023-09-02 20:17:00,103.0,Mobile App,Laptop,Organic Search,5,Music,Pop,View
189,287,2023-09-02,2023-09-02 23:43:00,2023-09-03 02:19:00,156.0,Mobile App,Mobile,Social Media,4,Movies,Animation,View
190,25,2023-09-02,2023-09-02 01:18:00,2023-09-02 04:26:00,188.0,Mobile App,Mobile,Social Media,5,Music,RnB,Share & Save
191,9,2023-09-02,2023-09-02 23:28:00,2023-09-03 02:53:00,205.0,Mobile App,Laptop,Paid Advertisement,4,Movies,Drama,Search
